scenario,storage_capacity_j,load_power_w,duration_s,fixed_delivered_energy_j,adaptive_delivered_energy_j,improvement_percent
multi_spectral_storage_limited,100.0,30.0,60.0,1800.0,1800.0,0.0
multi_spectral_storage_surplus,10000.0,30.0,60.0,1800.0,1800.0,0.0
