experiment,steps,dt_s,storage_capacity_j,load_profile,fixed_delivered_j,adaptive_delivered_j,improvement_percent,fixed_spilled_j,adaptive_spilled_j
variable_source_load,6,10,500,"20,80,20,80,20,80",600.0,600.0,0.0,0.0,0.0
storage_limited_variable_source,6,10,200,"20,80,20,80,20,80",360.0,360.0,0.0,240.0,240.0
