scenario,incident_power_w,captured_power_w,useful_power_w,capture_loss_w,conversion_loss_w,delivered_energy_j,storage_energy_j,temperature_k
solar_reference,1000.000000,900.000000,225.000000,100.000000,675.000000,225.000000,225.000000,293.217650
thermal_300K_net,40.534408,36.480967,3.648097,4.053441,32.832871,3.648097,3.648097,293.153283
thermal_500K_net,3125.218092,2812.696283,281.269628,312.521809,2531.426654,281.269628,281.269628,293.403143
multi_spectral_reference,1040.534408,936.480967,228.648097,104.053441,707.832871,228.648097,228.648097,293.220783
